夕焼けに染まる海辺で貝殻を拾う,ゆうやけにそまるうみべでかいがらをひろう
冷たいスイカを切り分けて家族と食べる,つめたいすいかをきりわけてかぞくとたべる
海で泳いだ後に砂浜で日光浴する,うみでおよいだあとにすなはまでにっこうよくする
涼しい風が吹く夕方に公園で遊ぶ,すずしいかぜがふくゆうがたにこうえんであそぶ
星が輝く夜空を見上げながらリラックス,ほしがかがやくよぞらをみあげながらりらっくす
縁日で金魚すくいに挑戦する,えんにちできんぎょすくいにちょうせんする
風鈴の音を聞きながら庭でくつろぐ,ふうりんのおとをききながらにわでくつろぐ
晴れた日の山でハイキングして汗をかく,はれたひのやまではいきんぐしてあせをかく
夕立の後に虹を見つけて楽しむ,ゆうだちのあとににじをみつけてたのしむ
ひまわり畑でゆったりと散策する,ひまわりばたけでゆったりとさんさくする
クーラーが効いた部屋で読書,くーらーがきいたへやでどくしょ
セミの声が響く中で朝の散歩をする,せみのこえがひびくなかであさのさんぽをする
砂浜で足を埋めて海を眺める,すなはまであしをうめてうみをながめる
夏祭りの夜に屋台でおいしいものを食べる,なつまつりのよるにやたいでおいしいものをたべる
冷たいジュースを飲みながらプールで泳ぐ,つめたいじゅーすをのみながらぷーるでおよぐ
森の中で涼しい風に吹かれながら昼寝,もりのなかですずしいかぜにふかれながらひるね
風鈴の音色が涼しさを演出する,ふうりんのねいろがすずしさをえんしゅつする
夜の公園で星空を見上げる,よるのこうえんでほしぞらをみあげる
縁日で射的に挑戦して楽しむ,えんにちでしゃてきにちょうせんしてたのしむ
ひまわり畑で青空と共に過ごす,ひまわりばたけであおぞらとともにすごす
冷たい風を感じながら縁側でリラックス,つめたいかぜをかんじながらえんがわでりらっくす
流しそうめんを家族と一緒に楽しむ,ながしそうめんをかぞくといっしょにたのしむ
夏の星座を見つけて友達と話す,なつのせいざをみつけてともだちとはなす
ひまわり畑で写真を撮るのが楽しい,ひまわりばたけでしゃしんをとるのがたのしい
森の中で感じる涼しさが心地良い,もりのなかでかんじるすずしさがここちよい
夏の夕暮れに庭で静かに読書する,なつのゆうぐれににわでしずかにどくしょする
山頂からの景色が心に深く刻まれている,さんちょうからのけしきがこころにふかくきざまれている
夕涼みのために縁側で座って涼む,ゆうすずみのためにえんがわですわってすずむ
夜の海辺で星がきらめくのを楽しむ,よるのうみべでほしがきらめくのをたのしむ
風鈴の音で涼しい夏の夜を楽しむ,ふうりんのおとですずしいなつのよるをたのしむ
海辺で見たサンセットが心に残る,うみべでみたさんせっとがこころにのこる
浜辺で気ままに貝殻を集める,はまべできままにとかいがらをあつめる
夏の夜に聞くセミの声がとても懐かしい,なつのよるにきくせみのこえがとてもなつかしい
海でのんびりとサーフィンを楽しむ,うみでのんびりとさーふぃんをたのしむ
森の中でひんやりとした空気を感じる,もりのなかでひんやりとしたくうきをかんじる
ひまわり畑で元気いっぱいの写真を撮る,ひまわりばたけでげんきいっぱいのしゃしんをとる
夜の海辺で星座を探しながら散歩する,よるのうみべでせいざをさがしながらさんぽする
風鈴の音が響く庭でのんびり過ごす,ふうりんのおとがひびくにわでのんびりすごす
夏の終わりに花火を見ながら過ごす,なつのおわりにはなびをみながらすごす
森の中で感じる涼しさがとても心地良い,もりのなかでかんじるすずしさがとてもここちよい
夏祭りの夜に浴衣を着て歩くのが楽しい,なつまつりのよるにゆかたをきてあるくのがたのしい
夕方に海辺で感じる涼しい風が心地良い,ゆうがたにうみべでかんじるすずしいかぜがここちよい
ひまわり畑でのんびりと過ごす時間が楽しい,ひまわりばたけでのんびりとすごすじかんがたのしい
森の中でゆっくり散策するのが好き,もりのなかでゆっくりさんさくするのがすき
夜の公園で星座を探しながら歩く,よるのこうえんでせいざをさがしながらあるく
風鈴の音で涼しい夏の夜を楽しむのが好き,ふうりんのおとですずしいなつのよるをたのしむのがすき
森の中で静かに過ごす時間が心地良い,もりのなかでしずかにすごすじかんがここちよい
海でサーフィンをして楽しむ,うみでさーふぃんをしてたのしむ
ひまわり畑で広がる景色が素晴らしい,ひまわりばたけでひろがるけしきがすばらしい
森の中で感じる涼しい風がとても気持ち良い,もりのなかでかんじるすずしいかぜがとてもきもちよい
夜に聞こえるセミの声が心に響く,よるにきこえるせみのこえがこころにひびく
夏の星座を見ながら友達と話す,なつのせいざをみながらともだちとはなす
縁日で見た夜空に星が輝くのが素敵,えんにちでみたよぞらにほしがかがやくのがすてき
森の中で感じる涼しい空気が心地良い,もりのなかでかんじるすずしいくうきがここちよい
ジュースを飲みながら砂浜で遊ぶ,じゅーすをのみながらすなはまであそぶ
夜の海辺で星空を眺めながらリラックス,よるのうみべでほしぞらをながめながらりらっくす
夏の終わりに感じる心地良い風が秋を運ぶ,なつのおわりにかんじるここちよいかぜがあきをはこぶ
夜の公園で星がきらめくのを楽しむ,よるのこうえんでほしがきらめくのをたのしむ
冷たいアイスクリームを食べながら海でリラックス,つめたいあいすくりーむをたべながらうみでりらっくす
夏祭りで見た花火がとても美しかった,なつまつりでみたはなびがとてもうつくしかった
ひまわり畑で撮った写真が素晴らしい,ひまわりばたけでとったしゃしんがすばらしい
森の中で感じる涼しい風がとても爽やか,もりのなかでかんじるすずしいかぜがとてもさわやか
夕方の海辺で心地良い風に吹かれながら歩く,ゆうがたのうみべでここちよいかぜにふかれながらあるく
夕方の公園で感じる涼しさが心に残る,ゆうがたのこうえんでかんじるすずしさがこころにのこる
夏の星座を見ながら友達と過ごすのが楽しい,なつのせいざをみながらともだちとすごすのがたのしい
森の中で感じるひんやりとした空気が心地良い,もりのなかでかんじるひんやりとしたくうきがここちよい
