夕立,ゆうだち
蚊帳,かや
風鈴,ふうりん
浴衣,ゆかた
浜風,はまかぜ
青空,あおぞら
流星,りゅうせい
扇子,せんす
冷房,れいぼう
夏服,なつふく
浜辺,はまべ
虹,にじ
海風,うみかぜ
草刈り,くさかり
納涼船,のうりょうせん
夏木立,なつこだち
日傘,ひがさ
風呂上がり,ふろあがり
かき氷,かきごおり
金魚,きんぎょ
枝豆,えだまめ
天の川,あまのがわ
草原,そうげん
青嵐,あおあらし
渓流,けいりゅう
銭湯,せんとう
真夏,まなつ
日焼け,ひやけ
鮎釣り,あゆつり
木陰,こかげ
日の出,ひので
浴衣姿,ゆかたすがた
海岸線,かいがんせん
帰省,きせい
夜風,よかぜ
夕焼け,ゆうやけ
山道,やまみち
流し踊り,ながしおどり
山のぼり,やまのぼり
夏の星座,なつのせいざ
打ち水,うちみず
真昼,まひる
ひぐらし,ひぐらし
縁日,えんにち
打ち上げ,うちあげ
夏空,なつぞら
冷やし中華,ひやしちゅうか
海水浴,かいすいよく
露天風呂,ろてんぶろ
夏祭り,なつまつり
浜昼顔,はまひるがお
砂浜,すなはま
夏椿,なつつばき
梅雨明け,つゆあけ
流しそうめん,ながしそうめん
夜空,よぞら
夏野菜,なつやさい
夏の海,なつのうみ
蚊取り線香,かとりせんこう
ひまわり,ひまわり
冷たい麦茶,つめたいむぎちゃ
川遊び,かわあそび
手持ち花火,てもちはなび
水まき,みずまき
夏休み,なつやすみ
蚊,か
鳥海山,ちょうかいさん
夜空観察,よぞらかんさつ
夕涼み,ゆうすずみ
蝉の声,せみのこえ
海辺の家,うみべのいえ
夏の夜,なつのよる
昼寝,ひるね
海の家,うみのいえ
渚,なぎさ
ひまわり畑,ひまわりばたけ
大三角,だいさんかく
草いきれ,くさいきれ
夏草,なつくさ
夏の夜空,なつのよぞら
冷やしうどん,ひやしうどん
浜辺の風景,はまべのふうけい
木造校舎,もくぞうこうしゃ
夏風邪,なつかぜ
夏の夕暮れ,なつのゆうぐれ
山小屋,やまごや
夏の名残,なつのなごり
鯉のぼり,こいのぼり
お神輿,おみこし
ひぐらしの鳴き声,ひぐらしのなきごえ
絵日記,えにっき
木漏れ日,こもれび
登山,とざん
