風鈴が揺れる音,ふうりんがゆれるおと
ひぐらしが鳴く夕暮れ,ひぐらしがなくゆうぐれ
冷たい麦茶の味,つめたいむぎちゃのあじ
浴衣の帯を結ぶ,ゆかたのおびをむすぶ
打ち上げ花火の光,うちあげはなびのひかり
扇風機の風が心地よい,せんぷうきのかぜがここちよい
せみの声が響く,せみのこえがひびく
青空に白い雲,あおぞらにしろいくも
かき氷が冷たい,かきごおりがつめたい
夕立の後の虹,ゆうだちのあとのにじ
冷えたスイカが美味しい,ひえたすいかがおいしい
ビーチサンダルの足音,びーちさんだるのあしおと
緑の木陰で休む,みどりのこかげでやすむ
夏の朝涼しい風,なつのあさすずしいかぜ
花火が夜空を飾る,はなびがよぞらをかざる
浜辺で感じる潮風,はまべでかんじるしおかぜ
ひまわりが太陽を仰ぐ,ひまわりがたいようをあおぐ
流しそうめんが楽しい,ながしそうめんがたのしい
草の香りが濃い午後,くさのかおりがこいごご
蝉しぐれが耳に残る,せみしぐれがみみにのこる
川のせせらぎが涼しい,かわのせせらぎがすずしい
夕焼けに染まる海,ゆうやけにそまるうみ
冷たいシャワーが気持ちいい,つめたいしゃわーがきもちいい
山から聞こえる虫の声,やまからきこえるむしのこえ
盆踊りの音が響く,ぼんおどりのおとがひびく
朝顔が元気に咲く,あさがおがげんきにさく
縁側で涼む午後,えんがわですずむごご
雨上がりの緑が鮮やか,あめあがりのみどりがあざやか
ビールが冷たい夜,びーるがつめたいよる
砂浜で日差しを浴びる,すなはまでひざしをあびる
夕涼みが心地いい,ゆうすずみがここちいい
木陰で本を読む時間,こかげでほんをよむじかん
朝の散歩が涼しい,あさのさんぽがすずしい
浴衣で歩く夏祭り,ゆかたであるくなつまつり
夏の空に流れる雲,なつのそらにながれるくも
夏の夜星がきらめく,なつのよるほしがきらめく
冷たい風が頬を撫でる,つめたいかぜがほおをなでる
緑の木々が揺れる音,みどりのきぎがゆれるおと
海辺のカフェで涼む,うみべのかふぇですずむ
アイスクリームが美味しい,あいすくりーむがおいしい
夏の夜風が涼しい,なつのよかぜがすずしい
波音が心地よく響く,なみおとがここちよくひびく
流れ星が夜空を駆ける,ながれぼしがよぞらをかける
夏休みの自由研究,なつやすみのじゆうけんきゅう
海風が心地よい,うみかぜがここちよい
夏の夜虫の音が響く,なつのよるむしのねがひびく
夏祭りの浴衣姿,なつまつりのゆかたすがた
蝉の声が夏を告げる,せみのこえがなつをつげる
冷たいスイカが美味しい,つめたいすいかがおいしい
白い砂浜に足跡を残す,しろいすなはまにあしあとをのこす
夏草の香りが鼻をくすぐる,なつくさのかおりがはなをくすぐる
夜風が頬を冷たく撫でる,よかぜがほおをつめたくなでる
祭りの灯りが夜を彩る,まつりのあかりがよるをいろどる
浜辺に寄せる波が心を洗う,はまべによせるなみがこころをあらう
風鈴が静かに歌う,ふうりんがしずかにうたう
青空と流れる雲,あおぞらとながれるくも
花火が夜空に咲く,はなびがよぞらにさく
夕立が涼しさを呼ぶ,ゆうだちがすずしさをよぶ
打ち上げ花火の音,うちあげはなびのおと
朝顔が咲く朝,あさがおがさくあさ
波打ち際を歩く,なみうちぎわをあるく
夏祭りの提灯の光,なつまつりのちょうちんのひかり
スイカを頬張る瞬間,すいかをほおばるしゅんかん
夜空に輝く星々,よぞらにかがやくほしぼし
白い砂浜が広がる,しろいすなはまがひろがる
海風に揺れる髪,うみかぜにゆれるかみ
浴衣姿の人々,ゆかたすがたのひとびと
打ち水が涼しい,うちみずがすずしい
水風船が弾ける,みずふうせんがはじける
蝉時雨が降り注ぐ,せみしぐれがふりそそぐ
スイカの種飛ばし,すいかのたねとばし
夏の朝日が眩しい,なつのあさひがまぶしい
ひんやりとした木陰,ひんやりとしたこかげ
入道雲が浮かぶ空,にゅうどうぐもがうかぶそら
海に向かって叫ぶ,うみにむかってさけぶ
山の中の涼しさ,やまのなかのすずしさ
木漏れ日が差し込む,こもれびがさしこむ
海の家で休む,うみのいえでやすむ
夜空を舞う蛍,よぞらをまうほたる
海で泳ぐ魚たち,うみでおよぐさかなたち
夏の星座を探す,なつのせいざをさがす
流れ星を追いかける,ながれぼしをおいかける
昼下がりの木陰,ひるさがりのこかげ
木漏れ日の中で寝転ぶ,こもれびのなかでねころぶ
風鈴が涼しげに鳴る,ふうりんがすずしげになる
夕立が降り注ぐ,ゆうだちがふりそそぐ
青い海が眩しい,あおいうみがまぶしい
一乗滝にはいる,いちじょうだきにはいる
バーベキューのやきそば,バーベキューのやきそば
鯖江第一ホテルのベッドが固い,さばえだいいちほてるのべっどがかたい
